Artikelnummer;Bezeichnung1;Bezeichnung2;EANNummer;Gewicht;GewichtLME;USER_AABreite;USER_AAHoehe;USER_AATiefe;USER_AFBreite;USER_AFGewicht;USER_AFHoehe;USER_AFLaenge;USER_AFVolumen;USER_AI;USER_AIBreite;USER_AIHoehe;USER_AILaenge;USER_EANNummerVerp;USER_EANNummerVerp2;USER_Farbe;USER_GewVE1;USER_GewVE2;USER_MatZusammensetzung;USER_Material;USER_PHArtikel115Pal;USER_ULBreite;USER_ULGewicht;USER_ULHoehe;USER_ULLaenge;Verkaufsmengeneinheit;Warennummer;FEFCO_Code
211101625;"Universalverpackung ""C4"", 336x255x74mm,";"sk m. Aufreißfaden, braun, var. Höhe, 25 geb";4250414103989;0.151;0.151;26;8.2;38.2;38.5;3.775;9.5;77;25;;25.5;7.4;33.6;4250414135461;;braun;;;"120 KLS / 80 WS / 115 TL ";"1.20b KLS N2 ";900;;;;;Stck.;48191000;
211101725;"Universalverpackung ""C4+"", 335x270x-77mm,";"sk m. Aufreißfaden,braun,var. Höhe,  25 gebündelt";4250414104009;0.16;0.16;27.7;8.6;34.1;38;4;9.5;81.5;25;;27;7.7;33.5;4250414135478;;braun;;;"120 KLS / 80 Ws / 115 TL braun";"1.20b KLS N2";900;;;;;Stck.;48191000;
211101825;"Universalverpackung ""B4"", 378x295x-80mm,";"sk m. Aufreißfaden,braun,var. Höhe, 25 gebündelt";4250414104023;0.196;0.196;30.2;8.6;38.9;42.8;4.9;9.5;90.3;25;;29.5;8;37.8;4250414135485;;braun;;;"120 KLS / 80 WS / 115 TL";"1.20b KLS N2";600;;;;;Stck.;48191000;
211101910;"Universalverpackung, 192x192x63mm ";"braun, mit SK u. Aufreißfaden, 10 St. gebündelt ";4250414143183;0.079;0.079;19.6;6.8;23.8;24.5;0.79;5.5;62.5;10;;19.2;6.3;19.2;4250414143886;;;;;"120 KLS braun / 80 WS / 115 TL braun ";"1.20b KLS N2 ";1380;;;;;Stck.;48191000;
211101925;"Universalverpackung ""A3"", 456x320x-70mm,";"sk m. Aufreißfaden,braun,var. Höhe,25 gebündelt";4250414104047;0.24;0.24;32.5;8.6;50.8;57;6;9.5;87;25;;32;7;45.6;4250414135492;;braun;6000;;"120 KLS / 80 WS / 115 TL";"1.20B KLS N2";600;;;;;Stck.;48191000;
211102120;"Universal Versandverpackung, B5, 250x190x-85mm";"zentrale Packgutaufnahme, 20 St. geb.";4250414105129;0.132;0.132;20.2;9;30.1;30;2.64;7.5;65;20;;19;8.5;25;4250414105136;;;;;"120 KLS / 80 WS / 115 TL";"1.20b KLS N2";1560;;;;;Stck.;48191000;
211102220;"Universal Versandverpackung, A4, 305x235x-92mm";"zentrale Packgutaufnahme, 20 St. geb.";4250414105143;0.18;0.18;24.2;10;35.5;36;3.6;7.5;77;20;;23;9.2;30.5;4250414105150;;braun;;;"120 KLS / 80 WS / 115 TL";"1.20b KLS N2";720;;;;;Stck.;48191000;
211102320;"Universal Versandverpackung, C4, 350x260x-70mm";"zentrale Packgutaufnahme, 20 St. geb.";4250414105167;0.202;0.202;27.2;8.2;39.7;40.5;4.04;7.5;79.1;20;;26;7;35;4250414105174;;;;;"120 KLS / 80 WS / 115 TL";"1.20b KLS N2";720;;;;;Stck.;48191000;
211102410;"Automatikbodenkarton ""Xtra-Strong"",304x216x130-220";"mit SK u. Aufreißfaden, braun, 10 St. gebündelt";4250414146122;0.281;0;22.3;23.4;31.1;36;2.81;9.5;52.5;10;;21.6;22;30.4;4250414146146;;schwarz;;;"120 KLS braun / 80 WS / 90 WS / 80 WS / 115 TL braun";"2.30be KLS N2";400;;;;;Stck.;48191000;Stanzverp.
211102520;"Universal Versandverpackung, A3,430x310x-90mm";"zentrale Packgutaufnahme, 20 St. geb.";4250414105204;0.254;0.254;31.6;10;47.9;47.7;5.08;7.5;92.5;20;;31;9;43;4250414105211;;braun;;;"120 KLS / 80 Ws / 115 TL";"1.20 b KLS N2";480;;;;;Stck.;48191000;
211102610;"Automatikbodenkarton ""Xtra-Strong"",460x309x200-300";"mit SK u. Aufreißfaden, braun, 10 St. gebündelt";4250414146139;0.554;0;31.6;31.4;46.7;52;5.54;9.5;77;10;;30.9;30;46;4250414146153;;schwarz;;;"120 KLS braun / 80 WS / 90 WS / 80 WS / 115 TL braun";"2.30be KLS N2";200;;;;;Stck.;48191000;"Fefco 0701"
211104050;"PACKBOX A5+, 215x155x40mm,";"sk m. Aufreißfaden, braun, portoopt., VE 50 Stück";4250414107536;0.063;0.063;26.5;5;16.7;26;3.15;15;51;50;;15.5;4.3;21.5;4250414107543;;braun;3;;"120 KLS / 70 WS / 115 TL";"1.20e KLS";2100;;;;;Stck.;48191000;
211104320;"PACKBOX A4, 305x210x110mm,";"sk m. Aufreißfaden, braun, portoopt., VE 20 Stück";4250414105518;0.163;0.163;36.2;12;23.5;35.1;3.26;9.5;88.4;20;;21;11;30.5;4250414105525;;braun;;;"140g KLS/ 70g Wst./ 115g TL";"1.30 E-Welle braun KLS ";1020;;;;;Stck.;48191000;
211104420;"Ordnerversandbox ""A4+"", 330x290x-120mm,";"sk m. Aufreißfaden, braun, für 1-2 Ordner, 20 St. ";4250414107550;0.248;0.288;38.5;13;31.3;38.5;5.76;10;106.5;20;;29;12;32.8;4250414107567;;braun;;;"115 KL braun / 90 WS / 115 TL braun";"1.20b T4";400;;;;;Stck.;48191000;
211104520;"PACKBOX A3+, 460x305x160mm,";"sk m. Aufreißfaden, braun, portoopt., VE 20 Stück";4250414108939;0.45;0.45;51.6;17;33;51.6;9;11.5;90;20;;30.5;16;46;4250414108625;;braun;9;;"140g KL / 115g Wst. / 135g TL";"1.30 E-Welle braun";240;;;;;Stck.;48191000;
211104720;"ORDNERVERSANDVERPACKUNG, 320x285x35-80mm,";"sk m. Aufreißfaden,braun,var. Höhe, 20 gebündelt";4250414106669;0.152;0.152;37;9;29.7;37;3.04;7.5;78;20;;29;8;32;4250414135942;;braun;;;"120 KLS / 80 WS / 115 TL";"1.20b KLS N2 ";900;;;;;Stck.;48191000;
211107725;"Maxibriefkarton 1 IM: 160x113x42mm AM175x115x45mm";"VE = 25 Stück";4250414133191;0.043;0.043;17.5;4.5;11.5;36.5;1.075;4;36.5;25;;11.3;4.2;16;4250414133221;;braun;;;"115 TL / 70 WS / 115 TL ";1.02e;3900;;;;;Stck.;48191000;
211107825;"Maxibriefkarton 2 IM:225x155x45mm AM:240x160x50mm";"VE = 25 Stück";4250414133207;0.053;0.065;24;5;16;43.5;1.625;4;45.5;25;;15.5;4.5;22.5;4250414133238;;braun;;;"115 TL braun / 70 WS / 115 TL braun";1.02e;2600;;;;;Stck.;48191000;"Fefco 0427"
211107925;"Maxibriefkarton 3 IM:330x242x45mm AM:350x250x50mm";"VE = 25 Stück";4250414133214;0.112;0.112;35;5;25;55;2.8;4;63.5;25;;24.2;4.5;33;4250414133245;;braun;;;"115TL / 70WS / 115TL";1.02e;1300;;;;;Stck.;48191000;
211109725;"Kleinpaket Fefco 0427, 160x113x77mm";"braun, 25 St. gebündelt, AM: 176x118x80mm";4250414146320;0.049;0;11.8;8;17.6;46.5;1.225;3.5;50;25;;11.3;7.7;16;4250414146344;;schwarz;;;"115 TL braun / 70 WS / 115 TL braun";1.02e;4200;;;;;Stck.;48191000;"Fefco 0427"
