HAN,BEZEICHNUNG,EINHEIT,WAEHRUNG,PREIS0,ABMENGE0,PREIS1,ABMENGE1,PREIS2,ABMENGE2,PREIS3,ABMENGE3,PREIS4,ABMENGE4,PREIS5,ABMENGE5,PREIS6,ABMENGE6,PREIS7,ABMENGE7,PREIS8,ABMENGE8,PREIS9,ABMENGE9
212160320,"ORDNERVERSANDBOX 50-80A, 320x288x50-80mm",Stck.,EUR,0.884,20,0.445,120,0.426,880,0.374,1760,,,,,,,,,,,,
221101020,"Versandkarton, 217x172x110mm,",Stck.,EUR,0.727,20,0.227,180,0.217,1760,0.191,3520,,,,,,,,,,,,
221102010,"Versandkarton, 217x172x110mm,",Stck.,EUR,1.344,10,0.405,60,0.307,120,0.297,1260,0.254,2520,,,,,,,,,,
221102110,"Versandkarton, 304x217x150mm,",Stck.,EUR,1.493,10,0.555,60,0.533,560,0.450,1120,,,,,,,,,,,,
221110125,"Versandkarton, 195x145x90mm,",Stck.,EUR,0.572,25,0.178,200,0.163,2250,0.142,4500,,,,,,,,,,,,
221110225,"Versandkarton, 295x195x90mm,",Stck.,EUR,0.657,25,0.319,100,0.310,900,0.259,1800,,,,,,,,,,,,
221110325,"Versandkarton, 295x195x140mm,",Stck.,EUR,0.685,25,0.347,100,0.338,900,0.286,1800,,,,,,,,,,,,
221110625,"Versandkarton, 395x295x140mm,",Stck.,EUR,0.853,25,0.628,50,0.609,450,0.506,900,,,,,,,,,,,,
222101005,"Versandkarton f. 12er Flaschen, 420x305x368mm,",Stck.,EUR,4.200,5,3.250,90,,,,,,,,,,,,,,,,
222101300,"20l Beutel für Bag-in-Box, 470x610mm",Stck.,EUR,2.250,10,1.750,20,1.610,30,1.530,40,1.510,60,1.310,300,1.290,3000,,,,,,
222101400,"5l Beutel für Bag-in-Box, 400x320mm",Stck.,EUR,1.620,10,1.130,20,0.970,30,0.890,40,0.800,60,0.570,450,0.560,6300,,,,,,
222101500,"1.5l Beutel für Bag-in-Box, 320x200mm",Stck.,EUR,1.550,10,1.060,20,0.900,30,0.820,40,0.740,60,0.690,80,0.380,400,0.360,8000,,,,
222102005,"Versankarton f. 6er Flaschen, 305x212x368mm,",Stck.,EUR,3.150,5,2.300,10,2.060,15,1.890,220,,,,,,,,,,,,
222102400,"10l Beutel für Bag-in-Box, 375x495mm",Stck.,EUR,1.720,10,1.230,20,1.070,30,0.990,40,0.900,60,0.700,4900,,,,,,,,
222102500,"3l Beutel für Bag-in-Box, 350x265mm",Stck.,EUR,1.580,10,1.090,20,0.930,30,0.850,40,0.770,60,0.730,80,0.530,450,0.520,6300,,,,
222103001,"Versandkarton für Magnumflaschen, 144x144x425 mm ",Stck.,EUR,2.480,5,1.600,10,1.170,20,1.160,175,0.880,350,,,,,,,,,,
222103005,"Versandkarton f. Flaschen, 305x212x368mm,",Stck.,EUR,3.230,5,2.390,10,2.380,90,1.950,180,,,,,,,,,,,,
222103010,"Versandkarton f. Flaschen, 204x108x368mm,",Stck.,EUR,1.500,10,1.100,20,1.080,180,0.860,360,,,,,,,,,,,,
222103020,"VERSANDKARTON FÜR FLASCHEN, 106x106x420mm,",Stck.,EUR,0.830,20,0.610,40,0.530,60,,,,,,,,,,,,,,
222103105,"Versandkarton f. Flaschen, 316x305x368mm,",Stck.,EUR,3.730,5,3.080,70,2.500,140,2.380,300,,,,,,,,,,,,
222103110,"VERSANDKARTON FÜR 3er FLASCHEN, 305x108x368mm,",Stck.,EUR,1.690,10,1.370,20,1.360,160,1.120,320,0.970,600,,,,,,,,,,
222103205,"Versandkarton f. 12er Flaschen, 420x305x368mm,",Stck.,EUR,4.350,5,4.320,45,3.300,90,3.190,150,,,,,,,,,,,,
222103210,"Versandkarton f. Flaschen, 212x204x368mm,",Stck.,EUR,1.880,10,1.790,120,1.380,240,1.300,450,,,,,,,,,,,,
222104001,"BIERTRAGERL, 213x140x269mm",Stck.,EUR,0.710,25,0.490,50,0.400,100,0.370,1200,0.330,2400,,,,,,,,,,
222104002,"BIERTRAGERL, 213x140x269mm",Stck.,EUR,0.780,25,0.580,50,0.480,100,0.460,1200,0.420,2400,,,,,,,,,,
222104015,"Versandkarton f. 24 Getränkedosen, 410x275x170mm ",Stck.,EUR,1.120,15,0.790,30,0.740,360,0.600,720,,,,,,,,,,,,
222104100,"Bierversandkarton 3er Flaschen, 255x88x288mm",Stck.,EUR,2.440,5,1.590,10,1.310,15,1.250,20,1.220,30,1.190,180,0.990,360,,,,,,
222104200,"Bierversandkarton 6er Flaschen, 255x175x294mm",Stck.,EUR,2.980,5,2.150,10,2.110,15,2.100,90,1.680,180,,,,,,,,,,
222104300,"Bierversandkarton 9er Flaschen, 265x255x288mm",Stck.,EUR,3.230,5,2.510,10,2.490,90,1.960,180,,,,,,,,,,,,
222104400,"Bierversandkarton 12er Flaschen, 353x255x288mm",Stck.,EUR,3.430,5,2.730,90,2.090,180,,,,,,,,,,,,,,
222105001,"CARGO-BOX XS - ECO,  150 Stck.",Stck.,EUR,2.088,10,1.643,20,1.581,150,1.271,300,,,,,,,,,,,,
222105101,"CARGO-BOX X - ECO, 150 Stck / Pal, 10 geb.",Stck.,EUR,2.223,10,1.760,20,1.715,150,1.406,300,,,,,,,,,,,,
222105201,"CARGO-BOX XXL, einzeln, flachl. 150 Stck.",Stck.,EUR,2.494,150,2.186,300,,,,,,,,,,,,,,,,
222105301,"CARGO-BOX B BÜCHERBOX einzeln, 150 Stck./Pal.",Stck.,EUR,2.160,10,1.652,150,1.343,300,,,,,,,,,,,,,,
222105401,"CargoBox plus S, 400x320x320mm,",Stck.,EUR,2.178,10,1.696,20,1.671,150,1.361,300,,,,,,,,,,,,
222105501,"CargoBox plus X, 660x350x360mm,",Stck.,EUR,2.613,10,2.105,150,1.796,300,,,,,,,,,,,,,,
222105700,"Kleiderbox, 545x545x1240mm",Stck.,EUR,19.199,1,13.188,2,11.161,3,8.513,48,,,,,,,,,,,,
222106010,"Bierfasskarton mit Einlage, 228x228x271mm",Stck.,EUR,2.010,10,1.580,20,1.570,160,1.340,320,,,,,,,,,,,,
222106015,"Versandkarton f.  GIN, 326x115x278mm",Stck.,EUR,1.800,10,1.530,20,1.300,40,1.300,120,1.230,240,,,,,,,,,,
222106115,"Versandkarton f. GIN, 326x226x278mm",Stck.,EUR,3.600,5,2.620,10,2.150,20,2.150,90,2.100,180,,,,,,,,,,
222111310,"20l Bag-in-Box Set, 2-teilig",Set,EUR,3.000,10,2.520,20,,,,,,,,,,,,,,,,
222111410,"5l Bag-in-Box Set, 2-teilig",Set,EUR,1.910,10,1.430,20,1.260,30,1.180,40,1.130,50,1.080,70,,,,,,,,
222111510,"1,5l Bag-in-Box Set, 2-teilig",Set,EUR,1.710,10,1.220,20,1.060,30,0.970,40,0.930,50,0.870,70,0.840,90,0.810,120,,,,
222112410,"10l Bag-in-Box Set, 2-teilig",Set,EUR,2.210,10,1.710,20,1.560,30,1.470,40,,,,,,,,,,,,
222112510,"3l Bag-in-Box Set, 2-teilig",Set,EUR,1.810,10,1.320,20,1.160,30,1.080,40,1.030,50,0.970,70,0.940,90,,,,,,
222114020,"PLAN BOX, A2, 500x75x75mm",Stck.,EUR,0.886,20,0.386,180,0.381,1600,0.352,3200,,,,,,,,,,,,
222114120,"PLAN BOX, A1, 750x75x75mm",Stck.,EUR,0.895,20,0.412,140,0.403,1300,0.368,2600,,,,,,,,,,,,
222114220,"PLAN BOX, A0, 1100x75x75mm",Stck.,EUR,0.937,20,0.454,140,0.445,1300,0.410,2600,,,,,,,,,,,,
222302125,"Versandkarton, 230x155x90mm ",Stck.,EUR,0.593,25,0.367,50,0.254,100,0.187,200,0.174,2925,,,,,,,,,,
222302225,"Versandkarton, 230x180x125mm ",Stck.,EUR,0.602,25,0.376,50,0.264,100,0.208,200,0.228,1200,,,,,,,,,,
222302325,"Versandkarton, 300x220x150mm ",Stck.,EUR,0.721,25,0.496,50,0.383,100,0.360,125,0.348,1200,,,,,,,,,,
222302425,"Versandkarton, 350x295x145mm ",Stck.,EUR,0.761,25,0.535,50,0.477,75,0.464,600,,,,,,,,,,,,
222302525,"Versandkarton, 400x300x100mm",Stck.,EUR,0.835,25,0.610,50,0.527,650,,,,,,,,,,,,,,
222402110,"Versandkarton, 400x300x300mm",Stck.,EUR,2.207,10,1.452,40,1.412,280,1.247,560,,,,,,,,,,,,
222402310,"Versandkarton, 500x400x300mm,",Stck.,EUR,2.389,10,2.003,20,1.976,130,1.620,260,,,,,,,,,,,,
222402610,"Versandkarton, 600x400x400mm,",Stck.,EUR,2.627,10,2.064,20,2.215,130,1.858,260,,,,,,,,,,,,
226100125,"ARCHIV-ABLAGEBOX, 315x65x233mm,",Stck.,EUR,0.773,25,0.398,150,0.385,1500,0.353,3000,,,,,,,,,,,,
226100220,"ARCHIV-ABLAGEBOX, 252x70x317mm,",Stck.,EUR,0.894,20,0.477,140,0.428,960,0.379,1920,,,,,,,,,,,,
226100310,"Archivbox für Hängemappen, 328x115x239mm,",Stck.,EUR,1.587,10,0.686,50,0.566,880,0.514,1760,,,,,,,,,,,,
226100410,"ARCHIV-TRANSPORTBOX, 327x158x279mm,",Stck.,EUR,1.807,10,0.962,40,0.810,720,0.745,1440,,,,,,,,,,,,
226100510,"ARCHIV-ABLAGEBOX 100 SELECT, 319x94x257mm",Stck.,EUR,0.877,20,0.394,140,0.386,1280,0.350,2560,,,,,,,,,,,,
226104020,"Archiv-Stehsammler 75, 260x75x315mm",Stck.,EUR,0.782,20,0.290,160,0.266,1980,0.243,3960,,,,,,,,,,,,
226110830,"ARCHIV-ABLAGEBOX 50, 250x45x317mm,",Stck.,EUR,0.754,30,0.519,130,0.475,960,0.427,1920,,,,,,,,,,,,
226110920,"ARCHIV-ABLAGEBOX, 250x70x317mm,",Stck.,EUR,1.021,20,0.604,120,0.574,800,0.516,1600,,,,,,,,,,,,
226111020,"ARCHIV-STEHSAMMLER, 260x75x515mm,",Stck.,EUR,0.841,20,0.419,80,0.324,1980,0.301,3960,,,,,,,,,,,,
226131220,"ARCHIV-ABLAGEBOX, 315x96x260mm,",Stck.,EUR,1.307,20,0.766,180,0.753,1400,0.735,2800,,,,,,,,,,,,
226141220,"ARCHIV-ABLAGEBOX, 315x96x260mm,",Stck.,EUR,1.307,20,0.766,180,0.753,1400,0.735,2800,,,,,,,,,,,,
226151220,"ARCHIV-ABLAGEBOX, 315x96x260mm,",Stck.,EUR,1.307,20,0.766,180,0.753,1400,0.735,2800,,,,,,,,,,,,
226161220,"ARCHIV-ABLAGEBOX, 315x96x260mm,",Stck.,EUR,1.307,20,0.766,180,0.753,1400,0.735,2800,,,,,,,,,,,,
226161310,"ARCHIVBOX FÜR HÄNGEMAPPEN, 330x120x265mm,",Stck.,EUR,1.721,10,0.820,50,0.701,880,0.648,1760,,,,,,,,,,,,
227100105,"ARCHIVBOX, 297x334x330 mm, wiederverschließbar",Stck.,EUR,3.274,5,1.772,15,1.353,280,1.187,560,,,,,,,,,,,,
227100210,"ARCHIVBOX, 426x326x295mm, braun,",Stck.,EUR,2.119,10,1.399,30,1.379,240,1.185,480,,,,,,,,,,,,
227100310,"ARCHIVBOX, 414x331x266mm, wiederverschließbar,",Stck.,EUR,2.037,10,1.336,30,1.331,220,1.122,440,,,,,,,,,,,,
227160410,"Archivbox f. Ordner m. Klappdeckel, 504x325x305mm",Stck.,EUR,2.923,10,2.597,20,2.569,120,2.183,240,,,,,,,,,,,,
227160510,"ARCHIVBOX F. ORDNER M. FRONTKL., 498x295x322mm",Stck.,EUR,2.455,10,1.705,30,1.639,300,1.484,600,,,,,,,,,,,,
227160610,"Archivbox S mit Deckel, 413x330x265mm",Stck.,EUR,2.378,10,1.685,30,1.674,220,1.463,440,,,,,,,,,,,,
227160705,"ARCHIV-BOX MIT DECKEL, 440x380x290mm,",Stck.,EUR,4.120,5,2.318,25,2.290,220,2.079,440,,,,,,,,,,,,
227160805,"Klappdeckelcontainer, 522x333x268mm,",Stck.,EUR,3.715,5,2.502,15,2.390,100,1.926,200,,,,,,,,,,,,
229100820,"Wellpappcontainer mit X-Faltung, 1180x780x765mm",Stck.,EUR,16.398,1,,,,,,,,,,,,,,,,,,
229101010,"Einkaufskorb, 500x330x260mm ",Stck.,EUR,0.770,450,0.666,900,,,,,,,,,,,,,,,,
229105002,"Einkaufskorb, 500x330x260mm, 2er Pack",Stck.,EUR,6.370,2,,,,,,,,,,,,,,,,,,
229105010,"Einkaufskorb, 500x330x260mm ",Stck.,EUR,2.990,5,1.865,10,1.188,25,0.964,50,,,,,,,,,,,,
